pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,st_age,sy_dist
47 UMa b,1,3,Radial Velocity,1996,Lick Observatory,1078,2.1,13.2,804.08,6.48,13.7967
47 UMa c,1,3,Radial Velocity,2001,Lick Observatory,2391,3.6,14.2,171.621,6.48,13.7967
47 UMa d,1,3,Radial Velocity,2009,Lick Observatory,14002,11.6,13.5,521.22,6.48,13.7967
51 Eri b,3,1,Imaging,2015,Gemini Observatory,11688,13.2,13.4,635.66,0.02,29.7575
51 Peg b,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.230785,0.0527,14.3,146.2018,10,15.4614
55 Cnc b,2,5,Radial Velocity,1996,Lick Observatory,14.6516,0.1134,13.9,263.9785,5.5,12.5855
55 Cnc c,2,5,Radial Velocity,2004,McDonald Observatory,44.3989,0.2373,8.51,54.4738,10.2,12.5855
55 Cnc d,2,5,Radial Velocity,2002,Lick Observatory,5574.2,5.957,13,1232.493,5.5,12.5855
55 Cnc e,2,5,Radial Velocity,2004,McDonald Observatory,0.7365474,0.01544,1.875,7.99,10.2,12.5855
55 Cnc f,2,5,Radial Velocity,2007,Multiple Observatories,259.88,0.7708,7.59,44.812,10.2,12.5855
6 Lyn b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,919.86,2.028,13.4,597.83523,2.353,54.6599
61 Vir b,1,3,Radial Velocity,2009,Multiple Observatories,4.215,0.050201,2.11,5.1,8.96,8.50332
61 Vir c,1,3,Radial Velocity,2009,Multiple Observatories,38.021,0.2175,4.46,18.2,8.96,8.50332
61 Vir d,1,3,Radial Velocity,2009,Multiple Observatories,123.01,0.476,5.11,22.9,8.96,8.50332
7 CMa b,1,2,Radial Velocity,2011,Anglo-Australian Telescope,735.1,1.758,13.4,587.9855,4.3,19.8101
7 CMa c,1,2,Radial Velocity,2019,Multiple Observatories,996,2.153,13.9,276.5121,4.3,19.8101
70 Vir b,1,1,Radial Velocity,1996,Lick Observatory,116.688,0.481,12.6,2380.45,7.77,17.9011
75 Cet b,2,2,Radial Velocity,2012,Okayama Astrophysical Observatory,696.62,1.912,13.3,787.89662,,82.9613
75 Cet c,2,2,Radial Velocity,2023,Okayama Astrophysical Observatory,2051.62,3.929,13.9,289.85951,,82.9613
8 UMi b,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.4,0.49,13.6,416.3573,1.7,162.552
81 Cet b,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,1005.57,2.104,13.1,1051.05854,,101.26
91 Aqr b,3,1,Radial Velocity,2013,Lick Observatory,181.4,0.7,13.1,1017,3.56,44.0304
AB Aur b,1,1,Imaging,2022,Subaru Telescope,,93.9,12.5,2860.45566,0.003,162.127
AB Pic b,1,1,Imaging,2005,Paranal Observatory,,260,12.3,4290.5,0.03,50.0475
AF Lep b,1,1,Imaging,2023,Paranal Observatory,8030,8.4,13.1,1017.0509,0.024,26.8564
AU Mic b,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.4629991,0.0645,3.957,20.12,0.019,9.7221
AU Mic c,1,3,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.858991,0.1101,3.24,9.6,0.019,9.7221
AU Mic d,1,3,Transit Timing Variations,2023,Multiple Observatories,12.73596,,1.02,1.053,0.02,9.7221
BD+03 2562 b,1,1,Radial Velocity,2017,Multiple Observatories,481.9,1.3,12.7,2034.112,5.2,1070.63
BD+14 4559 b,1,1,Radial Velocity,2009,McDonald Observatory,268.94,0.78,13.8,330.5432,,49.352
BD+15 2375 b,1,1,Radial Velocity,2016,Roque de los Muchachos Observatory,153.22,0.576,13.8,337.21763,7.41,768.045
BD+15 2940 b,1,1,Radial Velocity,2013,McDonald Observatory,137.48,0.539,13.7,352.78,7.1,426.42
BD+20 2457 b,1,2,Radial Velocity,2009,McDonald Observatory,379.63,1.45,12.1,6807.63,,1539.71
BD+20 2457 c,1,2,Radial Velocity,2009,McDonald Observatory,621.99,2.01,12.4,3963.17,,1539.71
BD+20 274 b,1,1,Radial Velocity,2012,McDonald Observatory,578.2,1.3,13,1334.886,,1322.51
BD+20 594 b,1,1,Transit,2016,K2,41.6855,0.241,2.578,22.2481,3.34,179.461
BD+45 564 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,307.88,0.83,13.6,432.24663,,53.622
BD+48 738 b,1,1,Radial Velocity,2011,McDonald Observatory,392.6,1,13.9,289.2253,,871.493
BD+48 740 b,1,1,Radial Velocity,2018,Multiple Observatories,733,1.7,13.5,540.311,,666.589
BD+49 828 b,1,1,Radial Velocity,2015,McDonald Observatory,2590,4.2,13.5,508.5,2.34,442.042
BD+55 362 b,1,1,Radial Velocity,2021,Haute-Provence Observatory,265.59,0.78,14,228.83645,,52.5697
