pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,st_age,sy_dist
Kepler-1265 b,1,1,Transit,2016,Kepler,6.49441289,0.0612,1.35,2.39,5.25,583.641
Kepler-1266 b,1,2,Transit,2016,Kepler,28.474748,0.1689,2.58,7.18,5.13,849.312
Kepler-1266 c,1,2,Transit,2021,Kepler,4.86631012,0.052,1.68,3.46,5.13,849.312
Kepler-1267 b,1,1,Transit,2016,Kepler,13.0313945,0.1057,3.01,9.32,3.24,1379.43
Kepler-1268 b,1,1,Transit,2016,Kepler,40.9903986,0.2383,2.03,4.78,4.27,1840.77
Kepler-1269 b,1,1,Transit,2016,Kepler,37.3331536,0.226,1.63,3.29,3.55,1097.23
Kepler-127 b,1,3,Transit,2014,Kepler,14.435889,0.125,1.4,2.54,2.63,352.794
Kepler-127 c,1,3,Transit,2014,Kepler,29.393195,0.2,2.66,7.56,2.63,352.794
Kepler-127 d,1,3,Transit,2014,Kepler,48.630408,0.28,2.64,7.46,2.63,352.794
Kepler-1270 b,1,1,Transit,2016,Kepler,6.03356196,0.0663,3.32,11,4.37,1095.05
Kepler-1271 b,1,1,Transit,2016,Kepler,3.0255955,0.0418,1.48,2.79,3.63,831.991
Kepler-1272 b,1,1,Transit,2016,Kepler,51.1309704,0.2705,2.37,6.21,3.89,1206.37
Kepler-1273 b,1,1,Transit,2016,Kepler,28.625653,0.1857,2.49,6.76,4.47,1114.24
Kepler-1274 b,1,1,Transit,2016,Kepler,6.98152703,0.0806,1.42,2.6,2.88,614.648
Kepler-1275 b,1,1,Transit,2016,Kepler,3.65691115,0.0488,1.48,2.79,2.51,1153.98
Kepler-1276 b,1,1,Transit,2016,Kepler,12.5720095,0.1072,1.19,1.81,3.09,538.481
Kepler-1277 b,1,1,Transit,2016,Kepler,40.8365012,0.2237,1.6,3.19,5.01,557.193
Kepler-1278 b,1,1,Transit,2016,Kepler,3.23941344,0.0419,1.01,1.01,3.31,889.426
Kepler-1279 b,1,1,Transit,2016,Kepler,23.4774101,0.1633,1.75,3.71,2.82,1494.22
Kepler-128 b,1,2,Transit,2013,Kepler,15.09,0.1231,1.43,0.77,4.07,396.379
Kepler-128 c,1,2,Transit,2013,Kepler,22.804,0.1622,1.34,0.9,4.07,396.379
Kepler-1280 b,1,1,Transit,2016,Kepler,66.5579057,0.38,1.87,4.16,2.82,1486.7
Kepler-1281 b,1,1,Transit,2016,Kepler,3.11602791,0.0415,1.64,3.33,4.37,1090
Kepler-1282 b,1,1,Transit,2016,Kepler,2.13194651,0.0335,1.55,3.02,4.57,1103.29
Kepler-1283 b,1,1,Transit,2016,Kepler,12.9460978,0.1062,1.91,4.31,2.88,2921.99
Kepler-1284 b,1,1,Transit,2016,Kepler,0.66407381,0.0143,1.21,1.92,4.47,882.324
Kepler-1285 b,1,1,Transit,2016,Kepler,14.7967458,0.1268,0.97,0.871,2.75,422.269
Kepler-1286 b,1,1,Transit,2016,Kepler,11.25402929,0.0991,2.15,5.27,4.17,1354.46
Kepler-1287 b,1,1,Transit,2016,Kepler,11.47685909,0.0976,1.54,2.99,4.07,1003.26
Kepler-1288 b,1,1,Transit,2016,Kepler,2.76122421,0.0435,1.12,1.46,2.88,814.078
Kepler-1289 b,1,1,Transit,2016,Kepler,7.99019627,0.0785,1.52,2.92,2.95,1053.57
Kepler-129 b,1,3,Transit,2014,Kepler,15.79,0.13,2.4,20,6.43,408.845
Kepler-129 c,1,3,Transit,2014,Kepler,82.2,0.39,2.52,43,6.43,408.845
Kepler-129 d,1,3,Radial Velocity,2021,W. M. Keck Observatory,2646,4,12.6,2637.97578,6.43,408.845
Kepler-1290 b,1,1,Transit,2016,Kepler,4.69500134,0.0557,1.42,2.6,4.07,1593.7
Kepler-1291 b,1,1,Transit,2016,Kepler,8.63043276,0.0779,1.66,3.39,4.9,897.352
Kepler-1292 b,1,1,Transit,2016,Kepler,3.27646405,0.0443,1.82,3.97,4.68,1493.43
Kepler-1293 b,1,1,Transit,2016,Kepler,5.57654784,0.0659,0.97,0.871,2.82,1028.16
Kepler-1294 b,1,1,Transit,2016,Kepler,115.6862258,0.4684,3.19,10.3,3.98,1855.7
Kepler-1295 b,1,1,Transit,2016,Kepler,3.81371974,0.0464,1.55,3.02,4.68,1174.46
Kepler-1296 b,1,1,Transit,2016,Kepler,8.3839865,0.0896,0.91,0.693,4.17,1551.54
Kepler-1297 b,1,1,Transit,2016,Kepler,1.68189002,0.0283,0.97,0.871,4.17,1439.47
Kepler-1298 b,1,1,Transit,2016,Kepler,7.12811928,0.082,1.31,2.27,2.57,544.163
Kepler-1299 b,1,1,Transit,2016,Kepler,19.9400874,0.1357,2.98,9.17,4.37,1404.94
Kepler-130 b,2,3,Transit,2014,Kepler,8.457458,0.079,1.02,1.04,5.89,316.663
Kepler-130 c,2,3,Transit,2014,Kepler,27.50868,0.178,2.9,8.75,5.89,316.663
Kepler-130 d,2,3,Transit,2014,Kepler,87.517905,0.377,1.64,3.33,5.89,316.663
Kepler-1300 b,1,1,Transit,2016,Kepler,22.2419092,0.1655,1.37,2.45,3.55,777.025
Kepler-1301 b,1,1,Transit,2016,Kepler,9.08237046,0.0815,1.4,2.54,4.9,854.28
Kepler-1302 b,1,1,Transit,2016,Kepler,8.83922659,0.0795,1.43,2.63,4.68,634.58
Kepler-1303 b,1,1,Transit,2016,Kepler,7.56127224,0.0751,1.42,2.6,4.47,897.783
Kepler-1304 b,1,1,Transit,2016,Kepler,16.1288853,0.1202,2.29,5.86,4.68,2176.08
Kepler-1305 b,1,1,Transit,2016,Kepler,13.5630972,0.1109,1.88,4.19,4.37,1575.23
Kepler-1306 b,1,1,Transit,2016,Kepler,16.29595382,0.123,1.91,4.31,4.57,1107.5
Kepler-1307 b,1,1,Transit,2016,Kepler,18.01621096,0.1369,2.47,6.66,4.07,1014.62
Kepler-1308 b,1,1,Transit,2016,Kepler,2.10433812,0.025,0.52,0.0933,3.72,112.705
Kepler-1309 b,1,1,Transit,2016,Kepler,28.8432647,0.1679,2.37,6.21,4.27,845
Kepler-131 b,1,2,Transit,2014,Kepler,16.092,0.1238,2.41,16.13,3.66,228.678
Kepler-131 c,1,2,Transit,2014,Kepler,25.5169,0.1684,0.84,8.25,3.66,228.678
Kepler-1310 b,1,1,Transit,2016,Kepler,0.67933627,0.0148,1.44,2.67,4.17,569.185
Kepler-1311 b,1,3,Transit,2016,Kepler,11.1726994,0.0989,1.24,2.07,7.59,866.331
Kepler-1311 c,1,3,Transit,2016,Kepler,2.53573424,0.0368,1.22,1.98,7.59,866.331
Kepler-1311 d,1,3,Transit,2021,Kepler,197.5110016,0.6711,9.658,67.5,7.2,866.331
Kepler-1312 b,1,2,Transit,2016,Kepler,5.44832529,0.0603,2.1,5.06,2,299.104
Kepler-1312 c,1,2,Transit,2021,Kepler,1.11611998,0.0209,1.027,1.07,0.4,299.104
Kepler-1313 b,1,1,Transit,2016,Kepler,3.83309118,0.046,1.76,3.75,2.69,174.234
Kepler-1314 b,1,1,Transit,2016,Kepler,5.42474928,0.0504,5.11,22.9,6.03,141.9868506
Kepler-1315 b,1,2,Transit,2016,Kepler,0.84338011,0.0163,1.38,2.48,3.47,480.869
Kepler-1315 c,1,2,Transit,2021,Kepler,6.56606007,0.064,1.844,4.06,14,480.869
Kepler-1316 b,1,1,Transit,2016,Kepler,87.9732136,0.3859,3.54,12.3,5.13,800.871
Kepler-1317 b,1,1,Transit,2016,Kepler,0.56887443,0.0128,1.56,3.05,4.79,728.303
Kepler-1318 b,1,1,Transit,2016,Kepler,213.257663,0.6085,3.11,9.85,4.57,475.248
Kepler-1319 b,2,1,Transit,2016,Kepler,2.88676265,0.0296,1.34,2.36,5.37,103.917
Kepler-132 b,2,4,Transit,2014,Kepler,6.178196,0.067,1.21,1.92,4.37,349.549
Kepler-132 c,2,4,Transit,2014,Kepler,6.414914,0.068,1.28,2.18,4.37,349.549
Kepler-132 d,2,4,Transit,2014,Kepler,18.010199,0.136,1.55,3.02,4.37,349.549
Kepler-132 e,2,4,Transit,2016,Kepler,110.2869374,0.4393,1.18,1.76,4.37,349.549
Kepler-1320 b,1,1,Transit,2016,Kepler,0.86838653,0.0163,1.7,3.53,3.16,647.424
Kepler-1321 b,1,3,Transit,2016,Kepler,11.12830484,0.0781,4.92,21.5,4.17,769.146
Kepler-1321 c,1,3,Transit,2016,Kepler,2.22649109,0.0267,2.4,6.35,4.17,769.146
Kepler-1321 d,1,3,Transit,2021,Kepler,5.72092009,0.0501,2.628,7.41,4.17,769.146
Kepler-1322 b,1,2,Transit,2016,Kepler,0.96286738,0.0183,1.61,3.22,4.47,1350.32
Kepler-1322 c,1,2,Transit,2021,Kepler,6.45998001,0.0652,2.155,5.29,0.4,1350.32
Kepler-1323 b,1,1,Transit,2016,Kepler,0.92990668,0.0191,1.52,2.92,3.55,465.417
Kepler-1324 b,1,1,Transit,2016,Kepler,4.11584468,0.0466,1.51,2.89,2.88,481.667
Kepler-1325 b,1,1,Transit,2016,Kepler,33.8786838,0.2004,2.86,8.55,4.79,973.368
Kepler-1326 b,1,1,Transit,2016,Kepler,42.3514267,0.2743,4.18,16.3,1.7,698.326
Kepler-1327 b,1,1,Transit,2016,Kepler,14.88801098,0.1186,1.8,3.89,4.07,678.069
Kepler-1328 b,1,1,Transit,2016,Kepler,4.52158888,0.0529,0.98,0.904,4.57,813.543
Kepler-1329 b,1,1,Transit,2016,Kepler,9.33646594,0.0747,2.17,5.35,5.62,588.037
Kepler-133 b,1,2,Transit,2014,Kepler,8.129976,0.083,1.76,3.75,9.4,653.6
Kepler-133 c,1,2,Transit,2014,Kepler,31.517586,0.204,2.84,8.45,9.4,653.6
Kepler-1330 b,1,1,Transit,2016,Kepler,10.10769068,0.0889,1.65,3.36,4.9,1720.48
Kepler-1331 b,1,1,Transit,2016,Kepler,0.78916165,0.0142,1.05,1.16,4.17,319.197
Kepler-1332 b,1,1,Transit,2016,Kepler,11.87456832,0.0986,1.37,2.45,3.24,528.685
Kepler-1333 b,1,1,Transit,2016,Kepler,109.6471842,0.4382,2.81,8.3,4.57,932.446
Kepler-1334 b,1,1,Transit,2016,Kepler,15.64591713,0.1229,2.29,5.86,4.27,1223.04
Kepler-1335 b,1,1,Transit,2016,Kepler,6.26406846,0.0615,1.45,2.7,4.9,621.853
Kepler-1336 b,1,2,Transit,2016,Kepler,23.198681,0.1595,1.98,4.58,12.3,1126.64
Kepler-1336 c,1,2,Transit,2016,Kepler,5.77721211,0.0631,1.71,3.57,12.3,1126.64
Kepler-1337 b,1,1,Transit,2016,Kepler,24.4002549,0.1441,2.41,6.39,4.27,601.629
Kepler-1338 b,1,1,Transit,2016,Kepler,0.93511806,0.0193,0.92,0.721,3.8,753.26
Kepler-1339 b,1,1,Transit,2016,Kepler,1.34155513,0.0234,0.71,0.285,5.62,371.049
Kepler-134 b,1,2,Transit,2014,Kepler,5.317429,0.06,2,4.66,3.55,334.797
Kepler-134 c,1,2,Transit,2014,Kepler,10.105785,0.092,1.26,2.13,3.55,334.797
Kepler-1340 b,1,1,Transit,2016,Kepler,0.66502692,0.0153,1.55,3.02,2.4,981.779
Kepler-1341 b,2,1,Transit,2016,Kepler,132.9968322,0.4498,2.99,9.22,1.82,476.957
Kepler-1342 b,1,1,Transit,2016,Kepler,2.21571036,0.0313,1.66,3.39,4.37,890.724
Kepler-1343 b,1,1,Transit,2016,Kepler,3.35183158,0.0449,1.93,4.38,3.98,1756.71
Kepler-1344 b,1,1,Transit,2016,Kepler,4.7683049,0.0568,1.84,4.04,3.63,853.959
Kepler-1345 b,1,1,Transit,2016,Kepler,44.6169557,0.2638,2.36,6.17,2.24,1355.02
Kepler-1346 b,1,1,Transit,2016,Kepler,3.40165668,0.044,1.58,3.12,3.09,843.701
Kepler-1347 b,1,1,Transit,2016,Kepler,14.00947528,0.104,1.03,1.08,5.62,321
Kepler-1348 b,1,1,Transit,2016,Kepler,27.5722742,0.1834,1.94,4.42,3.72,1213.82
Kepler-1349 b,1,1,Transit,2016,Kepler,2.12823928,0.0341,0.7,0.271,2.88,276.323
Kepler-135 b,1,2,Transit,2014,Kepler,6.00253,0.067,1.81,3.93,2.62,621.855
Kepler-135 c,1,2,Transit,2014,Kepler,11.448708,0.103,1.16,1.65,2.62,621.855
Kepler-1350 b,1,2,Transit,2016,Kepler,4.4968604,0.0413,2.52,6.9,4.57,340.691
Kepler-1350 c,1,2,Transit,2016,Kepler,1.76678906,0.0222,1.73,3.64,4.57,340.691
Kepler-1351 b,1,1,Transit,2016,Kepler,0.91614077,0.0156,0.65,0.208,4.17,202.782
Kepler-1352 b,1,1,Transit,2016,Kepler,1.87788275,0.03,0.89,0.64,3.16,670.829
Kepler-1353 b,1,1,Transit,2016,Kepler,24.7543966,0.153,1.8,3.89,4.68,593.384
Kepler-1354 b,1,1,Transit,2016,Kepler,76.613377,0.3521,2.97,9.11,2.95,1119.45
Kepler-1355 b,1,1,Transit,2016,Kepler,1.28958811,0.0224,1.46,2.73,4.27,911.269
Kepler-1356 b,1,1,Transit,2016,Kepler,0.63400294,0.0136,1.53,2.96,4.9,845.228
Kepler-1357 b,1,1,Transit,2016,Kepler,3.0091324,0.041,1.28,2.18,4.57,1015.69
Kepler-1358 b,1,1,Transit,2016,Kepler,7.06317341,0.0656,1.12,1.46,5.13,546.998
Kepler-1359 b,1,1,Transit,2016,Kepler,59.4970952,0.2769,2.83,8.4,2.34,614.859
Kepler-136 b,2,2,Transit,2014,Kepler,11.5789,0.106,2.05,19.8,2.75,420.818
Kepler-136 c,2,2,Transit,2014,Kepler,16.399235,0.133,1.99,4.62,2.75,420.818
Kepler-1360 b,1,1,Transit,2016,Kepler,40.5286413,0.2866,3.4,11.5,1.55,1516.27
Kepler-1361 b,1,1,Transit,2016,Kepler,3.57554956,0.0431,0.86,0.566,4.9,389.143
Kepler-1362 b,1,1,Transit,2016,Kepler,136.205626,0.4626,2.6,7.27,3.09,731.298
Kepler-1363 b,1,1,Transit,2016,Kepler,2.94194094,0.0363,1.25,2.1,4.17,541.714
Kepler-1364 b,1,1,Transit,2016,Kepler,13.32196237,0.1284,2.15,5.27,1.58,1056.9
Kepler-1365 b,1,2,Transit,2016,Kepler,7.69993485,0.075,0.92,0.721,6.03,840.128
Kepler-1365 c,1,2,Transit,2016,Kepler,4.77468005,0.0545,0.8,0.437,6.03,840.128
Kepler-1366 b,1,1,Transit,2016,Kepler,2.16457097,0.0273,1.43,2.63,3.98,465.826
Kepler-1367 b,1,1,Transit,2016,Kepler,1.57409027,0.0236,0.92,0.721,3.89,401.484
Kepler-1368 b,1,1,Transit,2016,Kepler,0.67564949,0.0153,1.65,3.36,3.47,1635.82
Kepler-1369 b,1,1,Transit,2016,Kepler,25.873148,0.1741,2.69,7.7,4.07,1236.56
Kepler-137 b,1,2,Transit,2014,Kepler,8.436387,0.077,1.47,2.76,4.27,302.979
Kepler-137 c,1,2,Transit,2014,Kepler,18.735753,0.13,1.88,4.19,4.27,302.979
Kepler-1370 b,1,2,Transit,2016,Kepler,20.2641684,0.1495,1.84,4.04,2.88,1004.1
Kepler-1370 c,1,2,Transit,2016,Kepler,7.44142113,0.0767,1.27,2.15,2.88,1004.1
Kepler-1371 b,1,2,Transit,2016,Kepler,3.4462039,0.0393,0.73,0.315,4.37,515.334
Kepler-1371 c,1,2,Transit,2016,Kepler,2.00541269,0.0274,0.64,0.196,4.37,515.334
Kepler-1372 b,1,1,Transit,2016,Kepler,1.31155557,0.024,1.27,2.15,5.01,1303.22
Kepler-1373 b,1,1,Transit,2016,Kepler,1.29123275,0.0242,1.16,1.65,2.51,1699.46
Kepler-1374 b,1,1,Transit,2016,Kepler,10.65276707,0.0918,2.29,5.86,4.47,1078.46
Kepler-1375 b,1,1,Transit,2016,Kepler,3.3004192,0.0471,1.74,3.68,1.66,1430.84
Kepler-1376 b,1,1,Transit,2016,Kepler,5.30880656,0.0598,1.05,1.16,4.68,868.056
Kepler-1377 b,1,1,Transit,2016,Kepler,0.74092842,0.0153,1.25,2.1,5.01,1146.1
Kepler-1378 b,1,1,Transit,2016,Kepler,11.95398936,0.0885,2.2,5.48,6.46,506.434
Kepler-1379 b,1,1,Transit,2016,Kepler,0.88184115,0.0171,1.3,2.24,5.01,971.325
Kepler-138 b,1,4,Transit,2014,Kepler,10.3134,0.0753,0.64,0.07,4.68,66.8624
Kepler-138 c,1,4,Transit,2014,Kepler,13.7815,0.0913,1.51,2.3,4.68,66.8624
Kepler-138 d,1,4,Transit,2014,Kepler,23.0923,0.1288,1.51,2.1,4.68,66.8624
Kepler-138 e,1,4,Transit Timing Variations,2022,Multiple Observatories,38.23,0.1803,0.797,0.43,4.68,66.8624
Kepler-1380 b,1,1,Transit,2016,Kepler,10.3108245,0.0917,1.43,2.63,4.79,2462.94
Kepler-1381 b,1,1,Transit,2016,Kepler,25.3842686,0.1728,2.25,5.69,4.07,1197.04
Kepler-1382 b,1,1,Transit,2016,Kepler,16.3583055,0.1404,1.88,4.19,2.75,738.261
Kepler-1383 b,1,1,Transit,2016,Kepler,13.9093583,0.1179,1.41,2.57,2.24,1027.21
Kepler-1384 b,1,1,Transit,2016,Kepler,15.36262753,0.1126,1.94,4.42,4.57,618
Kepler-1385 b,1,1,Transit,2016,Kepler,2.88879862,0.0415,0.85,0.543,4.37,688.795
Kepler-1386 b,1,1,Transit,2016,Kepler,6.73972381,0.068,1.24,2.07,5.01,835.882
Kepler-1387 b,1,1,Transit,2016,Kepler,2.27952666,0.031,0.93,0.749,4.37,455.358
Kepler-1388 b,1,4,Transit,2016,Kepler,12.2854603,0.0882,2.59,7.22,4.47,453.795
Kepler-1388 c,1,4,Transit,2016,Kepler,5.53608151,0.0519,2.26,5.73,4.47,453.795
Kepler-1388 d,1,4,Transit,2016,Kepler,20.9568158,0.126,2.86,8.55,4.47,453.795
Kepler-1388 e,1,4,Transit,2016,Kepler,37.6327084,0.1861,2.46,6.62,4.47,453.795
Kepler-1389 b,1,1,Transit,2016,Kepler,99.2530951,0.3869,1.77,3.78,2.09,497.093
Kepler-139 b,1,2,Transit,2014,Kepler,15.771044,0.127,2.94,8.96,5.1,391.038
Kepler-139 c,1,2,Transit,2014,Kepler,157.072878,0.586,3.38,11.4,5.1,391.038
Kepler-1390 b,1,1,Transit,2016,Kepler,6.48021673,0.0662,1.18,1.76,4.47,723.431
Kepler-1391 b,1,1,Transit,2016,Kepler,54.4092333,0.2768,1.68,3.46,5.5,1038.35
Kepler-1392 b,1,1,Transit,2016,Kepler,15.1410397,0.1189,1.96,4.5,4.68,1117
Kepler-1393 b,1,1,Transit,2016,Kepler,2.44357812,0.0337,0.8,0.437,3.47,544.456
Kepler-1394 b,1,1,Transit,2016,Kepler,3.93766373,0.0555,1.39,2.51,1.91,640.409
Kepler-1395 b,1,1,Transit,2016,Kepler,3.78470649,0.0494,0.8,0.437,2.88,492.894
Kepler-1396 b,1,1,Transit,2016,Kepler,18.2206421,0.1406,2.07,4.94,2.75,1066.46
Kepler-1397 b,1,1,Transit,2016,Kepler,47.449955,0.2602,1.72,3.61,3.55,1198.25
Kepler-1398 b,1,2,Transit,2016,Kepler,2.78815679,0.0392,0.9,0.666,3.09,852.204
Kepler-1398 c,1,2,Transit,2016,Kepler,4.13827595,0.051,1.03,1.08,3.09,852.204
Kepler-1399 b,1,1,Transit,2016,Kepler,1.63865306,0.0276,1.25,2.1,4.37,1385.7
Kepler-14 b,2,1,Transit,2011,Kepler,6.790123,0.0771,12.733,2669.66,2.2,798
Kepler-140 b,1,2,Transit,2014,Kepler,3.25427,0.045,1.61,3.22,0.88,583.859
Kepler-140 c,1,2,Transit,2014,Kepler,91.353282,0.414,1.8,3.89,0.88,583.859
Kepler-1400 b,1,1,Transit,2016,Kepler,9.06689421,0.0771,1.62,3.26,4.57,752.237
Kepler-1401 b,1,1,Transit,2016,Kepler,11.20066445,0.0975,1.68,3.46,3.55,1425.43
Kepler-1402 b,1,1,Transit,2016,Kepler,2.03387914,0.0322,0.76,0.363,4.57,1493.64
Kepler-1403 b,1,1,Transit,2016,Kepler,5.19492202,0.064,2.14,5.22,3.31,2163.9
Kepler-1404 b,1,1,Transit,2016,Kepler,15.9314739,0.1143,2.01,4.7,4.57,962.183
Kepler-1405 b,1,1,Transit,2016,Kepler,28.2274184,0.1778,3.96,14.9,3.63,1530.3
Kepler-1406 b,1,1,Transit,2016,Kepler,11.62905828,0.0987,1.1,1.37,5.01,572.403
Kepler-1407 b,1,1,Transit,2016,Kepler,20.0711504,0.1502,2.25,5.69,3.24,1396.41
Kepler-1408 b,1,1,Transit,2016,Kepler,2.99793191,0.0425,0.89,0.64,2.57,535.048
Kepler-1409 b,1,1,Transit,2016,Kepler,0.76486493,0.0152,1.04,1.12,4.79,694.89
Kepler-141 b,1,2,Transit,2014,Kepler,3.107675,0.039,0.69,0.257,12.39,301.183
Kepler-141 c,1,2,Transit,2014,Kepler,7.010606,0.067,1.41,2.57,12.39,301.183
Kepler-1410 b,1,1,Transit,2016,Kepler,60.866168,0.2543,1.78,3.82,4.07,367
Kepler-1411 b,1,1,Transit,2016,Kepler,86.1150888,0.4001,2.82,8.35,4.17,1660.48
Kepler-1412 b,1,1,Transit,2016,Kepler,3.6146051,0.0461,0.83,0.498,6.31,755.678
Kepler-1413 b,1,1,Transit,2016,Kepler,13.1829642,0.1066,1.82,3.97,4.68,1167.49
Kepler-1414 b,1,1,Transit,2016,Kepler,3.51576315,0.0426,1.23,2.04,4.68,570.835
Kepler-1415 b,1,1,Transit,2016,Kepler,0.63642408,0.0144,1.29,2.21,4.17,1043.56
Kepler-1416 b,1,1,Transit,2016,Kepler,1.49514952,0.0257,0.88,0.615,2.95,949.59
Kepler-1417 b,1,1,Transit,2016,Kepler,20.3505213,0.1431,1,0.972,4.07,991.845
Kepler-1418 b,1,1,Transit,2016,Kepler,22.4764425,0.131,1.66,3.39,3.63,499
Kepler-1419 b,1,1,Transit,2016,Kepler,42.5215895,0.2391,2.86,8.55,4.37,1498.58
Kepler-142 b,1,3,Transit,2014,Kepler,2.024152,0.032,1.99,4.62,8.2,548.686
Kepler-142 c,1,3,Transit,2014,Kepler,4.761702,0.057,2.86,8.55,8.2,548.686
Kepler-142 d,1,3,Transit,2014,Kepler,41.809118,0.242,2.16,5.31,8.2,548.686
Kepler-1420 b,1,1,Transit,2016,Kepler,6.69960006,0.0671,1.28,2.18,4.9,1054.37
Kepler-1421 b,1,1,Transit,2016,Kepler,6.9131112,0.0762,0.93,0.749,2.75,783.401
Kepler-1422 b,1,1,Transit,2016,Kepler,18.6051942,0.1499,2.02,4.74,3.02,2465.84
Kepler-1423 b,1,1,Transit,2016,Kepler,23.955378,0.1586,1.06,1.2,4.68,449
Kepler-1424 b,1,1,Transit,2016,Kepler,29.6091744,0.1861,1.16,1.65,5.25,661.421
Kepler-1425 b,1,1,Transit,2016,Kepler,14.4541302,0.1038,0.94,0.779,4.07,863.873
Kepler-1426 b,1,1,Transit,2016,Kepler,14.2563227,0.1187,1.56,3.05,4.07,1697.81
Kepler-1427 b,1,1,Transit,2016,Kepler,0.96897238,0.0197,1.1,1.37,4.07,1220
Kepler-1428 b,1,1,Transit,2016,Kepler,10.67607169,0.1059,1.64,3.33,2.04,1530.32
Kepler-1429 b,1,1,Transit,2016,Kepler,4.48487493,0.055,1.29,2.21,4.17,1214.09
Kepler-143 b,1,2,Transit,2014,Kepler,16.007583,0.127,2.41,6.39,5.62,809.467
Kepler-143 c,1,2,Transit,2014,Kepler,27.082511,0.181,3.37,11.3,5.62,809.467
Kepler-1430 b,1,1,Transit,2016,Kepler,2.46050993,0.0304,1.18,1.76,2.09,875.523
Kepler-1431 b,1,1,Transit,2016,Kepler,5.86601526,0.0648,1.47,2.76,4.27,1623.24
Kepler-1432 b,1,1,Transit,2016,Kepler,23.9109011,0.1696,2.22,5.56,3.47,2171.87
Kepler-1433 b,1,1,Transit,2016,Kepler,4.13592271,0.0516,1.56,3.05,3.02,1328
Kepler-1434 b,1,1,Transit,2016,Kepler,8.05333618,0.0894,1.11,1.41,2.57,775.529
Kepler-1435 b,1,1,Transit,2016,Kepler,4.45343281,0.0546,0.86,0.566,2.63,704.211
Kepler-1436 b,1,1,Transit,2016,Kepler,9.705716,0.0907,1.31,2.27,3.8,2530.62
Kepler-1437 b,1,1,Transit,2016,Kepler,10.9295461,0.0951,1.37,2.45,4.57,2101.69
Kepler-1438 b,1,1,Transit,2016,Kepler,2.31942009,0.0346,0.94,0.779,5.37,1154.13
Kepler-1439 b,1,1,Transit,2016,Kepler,8.07392849,0.0594,1.46,2.73,4.07,225.393
Kepler-144 b,1,2,Transit,2014,Kepler,5.885273,0.066,1.33,2.33,0.94,384.917
Kepler-144 c,1,2,Transit,2014,Kepler,10.104665,0.094,1.35,2.39,0.94,384.917
Kepler-1440 b,1,1,Transit,2016,Kepler,39.859484,0.2274,1.26,2.13,4.47,1115.35
Kepler-1441 b,1,1,Transit,2016,Kepler,39.4419839,0.2346,1.31,2.27,3.89,1110.48
Kepler-1442 b,1,1,Transit,2016,Kepler,81.4162941,0.4039,3.93,14.7,1.7,608.68
Kepler-1443 b,1,1,Transit,2016,Kepler,2.41811321,0.0368,0.97,0.871,2.63,593.646
Kepler-1444 b,1,1,Transit,2016,Kepler,33.42035034,0.2015,2.18,5.39,4.79,319.675
Kepler-1445 b,1,1,Transit,2016,Kepler,10.60052251,0.0948,0.96,0.84,3.8,506.357
Kepler-1446 b,1,1,Transit,2016,Kepler,0.68996783,0.0141,0.82,0.477,2.63,152.075
Kepler-1447 b,1,1,Transit,2016,Kepler,56.6747285,0.2836,2.9,8.75,4.17,890.296
Kepler-1448 b,1,1,Transit,2016,Kepler,12.27065865,0.1058,1.61,3.22,3.55,768.903
Kepler-1449 b,1,1,Transit,2016,Kepler,13.2274528,0.1176,1.68,3.46,3.47,2006.48
Kepler-145 b,1,2,Transit,2013,Kepler,22.951,0.1699,2.65,37.1,3.24,566.85
Kepler-145 c,1,2,Transit,2013,Kepler,42.882,0.2578,4.32,79.4,3.24,566.85
Kepler-1450 b,1,1,Transit,2016,Kepler,54.5094166,0.2401,1.71,3.57,4.37,505.829
Kepler-1451 b,1,1,Transit,2016,Kepler,35.622233,0.2101,3.35,11.2,4.17,1058.72
Kepler-1452 b,1,1,Transit,2016,Kepler,42.913751,0.2697,2.7,7.75,3.24,996.32
Kepler-1453 b,1,1,Transit,2016,Kepler,47.1611696,0.262,2.67,7.61,4.27,1196.04
Kepler-1454 b,1,1,Transit,2016,Kepler,47.0319479,0.2447,1.88,4.19,4.57,780.566
Kepler-1455 b,1,1,Transit,2016,Kepler,49.276764,0.2149,2.16,5.31,4.17,357.621
Kepler-1456 b,1,1,Transit,2016,Kepler,18.1373829,0.1132,1.14,1.55,3.72,370.312
Kepler-1457 b,1,1,Transit,2016,Kepler,51.1110243,0.2668,1.99,4.62,3.72,889.885
Kepler-1458 b,1,1,Transit,2016,Kepler,47.9872764,0.2495,2.76,8.05,4.17,544.45
Kepler-1459 b,1,1,Transit,2016,Kepler,62.8691611,0.2829,1.36,2.42,3.89,455.479
Kepler-146 b,1,2,Transit,2014,Kepler,31.158799,0.2,3.71,13.3,2.7,716.797
Kepler-146 c,1,2,Transit,2014,Kepler,76.732171,0.364,3.13,9.96,2.7,716.797
Kepler-1460 b,1,1,Transit,2016,Kepler,29.9633247,0.1614,1.96,4.5,3.98,553.218
Kepler-1461 b,1,1,Transit,2016,Kepler,29.3494775,0.1715,2.03,4.78,3.24,679.106
Kepler-1462 b,1,1,Transit,2016,Kepler,65.6488341,0.3094,3.82,14,4.07,1017.82
