Date Reported,Date Occurred,Time Occurred,Area Name,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Description,Address,Cross Street,Location
04/04/2019,04/03/2019,1710,Van Nuys,3009 3027 3036 3101 3401 3701 4026,31,M,H,STREET,SATICOY                      ST,NOBLE                        AV,"(34.2085, -118.4618)"
04/04/2019,04/04/2019,755,Newton,3101 3401 3701 3003 3027 3036 1402,14,F,H,STREET,BROADWAY,37TH                         ST,"(34.0153, -118.2748)"
04/07/2019,04/07/2019,730,Devonshire,3004 3036 3027 3101 3401 3701 4026,58,M,H,STREET,RESEDA,PARTHENIA,"(34.2283, -118.5361)"
04/08/2019,04/07/2019,2045,Northeast,3101 3401 3701 3009 3036 3027 4024,61,M,H,STREET,HOLLYWOOD                    BL,KENMORE                      AV,"(34.1018, -118.2972)"
04/09/2019,04/09/2019,410,Wilshire,3004 3027 3035 3037 3101 3401 3701 4027,61,M,H,STREET,LA CIENEGA                   BL,AIRDROME                     ST,"(34.0445, -118.3768)"
04/09/2019,04/09/2019,550,Southeast,4025 3037 3003 3027 3029 3101,60,F,B,STREET,CENTRAL                      AV,91ST                         ST,"(33.9539, -118.2564)"
04/11/2019,04/10/2019,1945,Foothill,3003 3037 3101 3401 3701 4026 3027,66,M,W,STREET,GLENOAKS                     BL,WHEATLAND                    AV,"(34.2249, -118.3617)"
04/11/2019,04/11/2019,540,West Valley,3003 3037 3027 3101 3701 4026 3401,90,M,W,STREET,RESEDA                       BL,OXNARD                       ST,"(34.18, -118.536)"
04/13/2019,04/12/2019,1910,Foothill,1402 3004 3027 3034 3040 3036 3101 3401 3701 4026,59,F,H,STREET,LANKERSHIM                   BL,SAN FERNANDO                 RD,"(34.2337, -118.3878)"
04/13/2019,04/13/2019,251,Hollywood,3003 3027 3029 3035 3037 3101 3401 3701 4027,32,M,W,STREET,SUNSET                       BL,VINE                         ST,"(34.098, -118.3267)"
04/18/2019,04/17/2019,2229,Southwest,4025 3036 3027 3101 3012,41,M,H,STREET,KENWOOD                      AV,ADAMS                        BL,"(34.0328, -118.2991)"
04/18/2019,04/18/2019,130,Hollywood,3003 3027 3029 3035 3037 3101 3401 3701 4027,57,M,W,STREET,SUNSET                       BL,FORMOSA                      AV,"(34.098, -118.3468)"
04/19/2019,04/18/2019,2030,Foothill,3003 3037 3029 3027 3101 3401 3701 4026 1218,58,M,H,STREET,SAN FERNANDO                 RD,OLINDA                       ST,"(34.2223, -118.3737)"
04/21/2019,04/21/2019,450,77th Street,4025 3037 3003 3027 3029 3101 3501 3601,35,M,H,STREET,SLAUSON                      AV,3RD                          AV,"(33.9891, -118.3206)"
04/24/2019,04/24/2019,1010,N Hollywood,3004 3037 3101 3401 3701 4026 3027,40,F,H,STREET,VANOWEN                      ST,VANTAGE                      AV,"(34.194, -118.3976)"
04/25/2019,04/25/2019,1050,Foothill,3018 1218 3037 3101 3401 3701 3027 4026 3034,55,M,W,STREET,FOOTHILL                     BL,PINEWOOD                     AV,"(34.248, -118.2859)"
04/30/2019,04/30/2019,1445,Hollywood,3027 3003 3035 3036 3101 3401 3701 4027,30,F,W,STREET,HOLLYWOOD                    BL,BRONSON                      AV,"(34.1017, -118.318)"
05/01/2019,05/01/2019,810,Foothill,3009 3027 3101 3401 3701 4026 3037,28,M,H,STREET,SAN FERNANDO                 RD,DELIA                        AV,"(34.2073, -118.3508)"
05/02/2019,05/01/2019,2350,77th Street,3601 4025 3027 3101 3036 3012,22,M,B,STREET,FLORENCE                     AV,DALTON                       AV,"(33.9746, -118.3035)"
05/05/2019,05/05/2019,110,Northeast,0605 3101 3401 3701 4024 3004 3027 3029 3036,19,M,H,STREET,SAN PASCUAL                  AV,POLLARD                      ST,"(34.1177, -118.1731)"
05/05/2019,05/05/2019,2015,Southwest,4003 3036 3027 3029 3003 3101,18,M,H,STREET,WALTON                       AV,40TH                         PL,"(34.0075, -118.2819)"
05/09/2019,05/08/2019,2255,Foothill,3003 3038 3037 3029 3027 3034 3101 3401 3701 4026,60,M,W,STREET,SUNLAND                      BL,STONEHURST                   AV,"(34.2432, -118.3663)"
05/10/2019,05/09/2019,2035,Newton,3101 3401 3701 3008 3027 3036 3034,31,M,H,STREET,ALAMEDA                      ST,25TH                         ST,"(34.0147, -118.2396)"
05/12/2019,05/11/2019,2235,77th Street,3601 3501 4025 3003 3027 3101,48,M,H,STREET,VERMONT                      AV,69TH                         ST,"(33.9771, -118.2918)"
05/13/2019,05/13/2019,705,Harbor,3027 3008 3101 4005 3037,33,F,H,STREET,PACIFIC COAST                HY,EUBANK                       ST,"(33.7948, -118.2694)"
05/15/2019,05/15/2019,1145,Topanga,3011 3027 3037 3034 3101 3401 3701 4026,33,F,W,STREET,VALLEY CIRCLE                BL,EL CANON                     AV,"(34.1786, -118.6549)"
05/16/2019,05/15/2019,1815,Southwest,3009 3027 4025 3004 3036 3101,26,M,H,STREET,CLOVERDALE                   AV,RODEO                        RD,"(34.0216, -118.3608)"
05/16/2019,05/15/2019,1915,West Valley,3004 3027 3037 3101 3401 3701 4026 3034,36,M,W,,0,,"(34.167, -118.4923)"
